,train_loss,val_loss,lr
0,1.0278602031034392,0.641237610095256,0.001
1,0.9716276826488005,0.6459840560281599,0.001
2,0.9440496990809569,0.6360940715751132,0.001
3,0.9452504807630101,0.5976179636813499,0.001
4,0.9336567809050148,0.6602787625145268,0.001
5,0.945584662258625,0.5796333092290002,0.001
6,0.9262284646565849,0.6013184890553758,0.001
7,0.9068411423547847,0.565757785294507,0.001
8,0.9439739733934402,0.5966593365411501,0.001
9,0.9141256281652966,0.6163270320441272,0.001
10,0.9219356364495045,0.6695227929063745,0.001
11,0.9424081613888612,0.5895826164129618,0.001
12,0.8958643070749335,0.5782816716142603,0.0005
13,0.9269343493758021,0.6175880569058496,0.0005
14,0.9181071835997943,0.6126239509195894,0.0005
15,0.9104443029374689,0.5880979750607465,0.0005
16,0.9058581075152835,0.58086631910221,0.0005
17,0.9093043143684799,0.5484781708266284,0.0005
18,0.8892389940651687,0.5762101822608227,0.0005
19,0.8584645120678721,0.59322358224843,0.0005
20,0.8809834666348793,0.5656571984291077,0.0005
21,0.8942264364780607,0.5959834045655018,0.0005
22,0.8816080945166381,0.6055270554246129,0.00025
23,0.8777693991322775,0.5931076012753151,0.00025
24,0.8837740099107897,0.5757898221144805,0.00025
25,0.878769520368125,0.6165501886122936,0.00025
26,0.8492465178306038,0.5568800568580627,0.00025
27,0.8709820283425821,0.5620429048667083,0.000125
28,0.8599157973721221,0.5681226164908022,0.000125
29,0.8904174391079593,0.5728980979403934,0.000125
30,0.8362213161748808,0.5673704711166588,0.000125
31,0.8623929686240248,0.5447516860188665,0.000125
32,0.8763462075510541,0.5544857302227536,0.000125
33,0.8579493954374984,0.5537324845790863,0.000125
34,0.8688593176571099,0.5685366271315394,0.000125
35,0.8453296660571485,0.5695085976574872,0.000125
36,0.8336385355607884,0.5184801092018952,0.000125
37,0.8331860491150135,0.5556046785535039,0.000125
38,0.8335970328063578,0.5347722357994801,0.000125
39,0.8802436282103127,0.5811334405396436,0.000125
40,0.8459211777190905,0.5687576427653029,0.000125
41,0.8429737282363144,0.531733620811153,6.25e-05
42,0.8233381048650354,0.5159851546223099,6.25e-05
43,0.8716349388296539,0.5733744719543973,6.25e-05
44,0.8402266298999658,0.5516494552831392,6.25e-05
45,0.8257081007232537,0.5353469792250041,6.25e-05
46,0.8329847007989883,0.534546523480802,6.25e-05
47,0.8703655006515013,0.5474461453991968,3.125e-05
48,0.852259957911195,0.5516825930492298,3.125e-05
49,0.8206189002942395,0.5312403182725649,3.125e-05
