seed,pipeline,epoch,train_loss,val_loss,val_dice,dice_bg,dice_non_enh,dice_edema,dice_enhancing
5,P2,1,0.822125169382257,0.691713586046889,0.4111630509546552,0.9890391859305634,0.03151142663288137,0.4907039177731528,0.13339767348202358
5,P2,2,0.6522108799320157,0.5690470716437778,0.4158644414810053,0.9892312228627733,0.12361509447528317,0.5015021547803568,0.0491092938056079
5,P2,3,0.5562647563926244,0.49206540914806157,0.4785498516973151,0.9851732447857344,0.15651607682895724,0.4311581316957715,0.3413519534787971
5,P2,4,0.49936372061907236,0.4112486863458479,0.5880395881924144,0.9900441505442019,0.22088529134211057,0.6020045234110837,0.5392243874722613
5,P2,5,0.46089401608806546,0.37821708861235026,0.60136066804083,0.9904932219920105,0.2727353119755393,0.5935554404958986,0.5486586976998717
5,P2,6,0.45048222743858723,0.3574655885631974,0.6080973669666199,0.9896332345091986,0.32543933833777594,0.5654754029198664,0.5518414920996384
5,P2,7,0.430743788864653,0.3217744633958146,0.6355122556840402,0.9905870095562304,0.3471753960752716,0.6202592484997609,0.5840273686048981
5,P2,8,0.4228535314232616,0.33124212517931656,0.6054237021227364,0.9886970043449442,0.32495384532546706,0.5322202928905639,0.5758236659299703
5,P2,9,0.3969634203082424,0.2869433025653298,0.6466571464708829,0.9912124321993734,0.3927636439181354,0.6144054555529298,0.5882470542130932
5,P2,10,0.4060294519036503,0.315837981934483,0.5899347371192794,0.9895608880792015,0.29537766543137106,0.5475882808109253,0.5272121141556194
5,P2,11,0.3973771291769157,0.2757711456836881,0.6571566668898235,0.9907744340136678,0.40338091756668687,0.6318355199325779,0.6026357960463614
5,P2,12,0.3977992408861548,0.26490646661133377,0.6594787250080061,0.9913286998268036,0.4125007959756994,0.6125731447179678,0.6215122595115534
5,P2,13,0.39030952514228173,0.2538376978120288,0.6660266733708753,0.9922367565154346,0.41516307231642663,0.643146890556326,0.6135599740953139
5,P2,14,0.3940335074723777,0.2652627785463591,0.6542865128622339,0.9905910419642517,0.4090378453168465,0.592006209620061,0.6255109545477766
5,P2,15,0.3974178326837087,0.25046204272154216,0.6700803514281855,0.9921700552037368,0.43287628890220037,0.6571265516537433,0.5981485099530612
5,P2,16,0.4082621306686078,0.28121411377513733,0.6481676092251312,0.9903812089255337,0.4095336917792957,0.6137159191532672,0.5790396170424282
5,P2,17,0.3936417612483946,0.2421394314717602,0.6794048038871098,0.9922626046940234,0.44409282924074334,0.6624392354239288,0.6188245461897437
5,P2,18,0.39748124646938454,0.2470291532777451,0.6793970530454865,0.991622398915697,0.44540509856578486,0.6573166458633414,0.6232440688371228
5,P2,19,0.3784081692412748,0.23678679059486132,0.6854110765932865,0.9924263841772625,0.45871895050727335,0.6673440211398661,0.6231549505487443
5,P2,20,0.3874130139411506,0.2422576498340916,0.6804297982724182,0.991434437604935,0.452472127690223,0.6428551168408054,0.6349575109537096
5,P2,21,0.379093892190416,0.23758816799601992,0.6955658238039241,0.9924187581929379,0.4737154543713529,0.6694765701429065,0.6466525125084986
5,P2,22,0.3875444803702629,0.2379994911921991,0.6888262260247252,0.9928210677020243,0.47330548017865254,0.6797591494068653,0.6094192068113585
5,P2,23,0.379536321153075,0.2384556606411934,0.6943060342613154,0.9916847725447557,0.47580831533160783,0.68266376504331,0.6270672841255884
5,P2,24,0.3968303150039608,0.24062176008482236,0.687051333726538,0.9924293455509717,0.4655696641742607,0.6809864418952696,0.6092198832856504
5,P2,25,0.38951567532652515,0.2396530208958162,0.6928082870186144,0.9920202513421357,0.4749242784748844,0.6676277788262883,0.6366608394311489
5,P2,26,0.36282682168786806,0.2206383430071779,0.7193805845994101,0.9934704818608361,0.5238117424375058,0.7037715382237839,0.6564685758755149
5,P2,27,0.38173809910224654,0.2133644270534451,0.7216212083190497,0.9935623850133247,0.5309272257678286,0.7069823947860502,0.6550128277089957
5,P2,28,0.39095499785774845,0.22875271556345192,0.7086405803141499,0.9929123147441332,0.5069537281949082,0.6840578529317713,0.6506384253857864
5,P2,29,0.37250684247178545,0.21570902086190274,0.7157649902056019,0.9931202999377251,0.5240884307642788,0.6823825548125992,0.6634686753078046
5,P2,30,0.3755524791650853,0.22324874815908638,0.7188936359890492,0.9932537307900826,0.5229124955513005,0.6990473357401059,0.6603609818747075
5,P2,31,0.3673977418723753,0.2220688610262162,0.7235858596868863,0.9938544035220934,0.5345239279030366,0.7130193229201213,0.6529457844022937
5,P2,32,0.38037906705828034,0.2240416659293948,0.7083728011756004,0.9923918110251723,0.531995468747074,0.6581498547108419,0.6509540702193134
5,P2,33,0.37378592875044225,0.21175274867061022,0.7219249198573486,0.9931573750160281,0.5447690387588883,0.6970242244835707,0.6527490411709076
5,P2,34,0.37210094049825504,0.2177439244413698,0.7132915773755413,0.993625106482872,0.5175743226504282,0.7024475766868068,0.6395193036820583
5,P2,35,0.36856669677516163,0.21034835268919533,0.7226838888512866,0.9935328195996173,0.5505014390209827,0.7018052015158702,0.6448960952686762
5,P2,36,0.3710757633892156,0.21665950723596522,0.7154177354147327,0.9937031803186805,0.5260613362913511,0.6954460508607956,0.6464603741881039
5,P2,37,0.3571334789112463,0.2222983414256895,0.7197816654561052,0.9929674104381605,0.5461378917664504,0.6768399900491082,0.6631813695707018
5,P2,38,0.3886894951179876,0.22088066468367706,0.712618623761421,0.9932612663599232,0.5375846912058573,0.6758512065474355,0.6437773309324681
5,P2,39,0.3637866582153207,0.2051275046290578,0.7363172778576832,0.9942528164946325,0.5593074319897157,0.7281184877186636,0.6635903752277212
5,P2,40,0.3770718914977575,0.21576278374807253,0.7278369442471981,0.992804297384475,0.5541054219864904,0.7007631316167285,0.6636749260010988
