seed,pipeline,epoch,train_loss,val_loss,val_dice,dice_bg,dice_non_enh,dice_edema,dice_enhancing
2,P2,1,0.7826971175306935,0.6514190934799813,0.3869250121105241,0.9884055136545081,0.004076311910967681,0.5191034516281354,0.03611477124848512
2,P2,2,0.61270116678739,0.5210756442031345,0.5079333935994548,0.9896357007039882,0.06950740066742288,0.5819776761970236,0.39061279682938466
2,P2,3,0.5251567931498511,0.43418325685166026,0.5647900383974739,0.9909218384769084,0.08531271040681089,0.6178483850501848,0.5650772196559914
2,P2,4,0.48296791638358166,0.3911493247425234,0.5864891306604189,0.9902984898790782,0.12047868880777686,0.6301474277658402,0.6050319161889801
2,P2,5,0.4464167586827682,0.35223262857746435,0.6174194676439793,0.9908782713878078,0.22981964218430273,0.6397310994960803,0.6092488575077262
2,P2,6,0.426065115302296,0.31862023291555613,0.6359557914016891,0.9913530898116332,0.3401277513936206,0.6443945512348745,0.567947773166628
2,P2,7,0.43047991435406574,0.3225798804212261,0.6318450921038594,0.9907971473481912,0.33465275562759605,0.6054207237138893,0.5965097417257611
2,P2,8,0.4134874879303625,0.3013056891190039,0.6422065088291484,0.9904152965164759,0.33717221443936396,0.6224011008926378,0.6188374234681164
2,P2,9,0.41731510031021246,0.2825527233449188,0.6641327338340896,0.991944590610779,0.3817753747427558,0.6410443205229345,0.6417666494598889
2,P2,10,0.41560305695412525,0.306187205016613,0.6197834658291803,0.989699134306709,0.36703909918279737,0.5773961915880848,0.54499943823913
2,P2,11,0.4011389481314158,0.2747882959004995,0.6603173547683977,0.9914424393179133,0.3933421275898807,0.6373545600549985,0.6191302921107985
2,P2,12,0.405798675751282,0.27747901005519404,0.6337060869016178,0.9907687073580184,0.3885709852501384,0.5514110499561825,0.604073605042132
2,P2,13,0.40379717208571353,0.2571592695406965,0.6762459246821608,0.9922289190733101,0.4432825918334279,0.6621520771843876,0.6073201106375172
2,P2,14,0.38834813924159034,0.2641150429844856,0.6560593214958208,0.9917215857503354,0.4096498998158,0.6067999906980371,0.6160658097191105
2,P2,15,0.39010119397761456,0.2547784584599572,0.6703128686739105,0.9918094223727713,0.4151261713873804,0.6448919397794537,0.6294239411560366
2,P2,16,0.38105743759769506,0.24316004804662755,0.6810893849439257,0.9929245745800818,0.42829519077055345,0.6640667661427994,0.6390710082822683
2,P2,17,0.3857452471377486,0.24206216210449064,0.6908944339621527,0.992963837640892,0.46022677050771266,0.694990083251374,0.6153970444486322
2,P2,18,0.39354340075436284,0.24526304932864937,0.6824741748106752,0.9908421320782639,0.47032216542082667,0.6360102918387412,0.632722109904869
2,P2,19,0.38369479916863525,0.24156637489795685,0.6852245745147616,0.9919830518335327,0.4537542340164205,0.6801984092770201,0.6149626029320732
2,P2,20,0.37852439456066844,0.24930709399081566,0.6780454937641525,0.9912419175431364,0.44294069345501286,0.641550656947992,0.6364487071104686
2,P2,21,0.3830190345897513,0.23666356201912905,0.690655707422538,0.9923230510536911,0.4728957807088199,0.670318524628583,0.6270854732990582
2,P2,22,0.36979411711632193,0.23260637110955007,0.6933436779362394,0.9919970564824504,0.48556845227466955,0.6683541602078101,0.6274550427800272
2,P2,23,0.3785520656129061,0.22941225877887494,0.6946424271086485,0.9927418016926695,0.4765068723883248,0.6628619667120038,0.6464590676415959
2,P2,24,0.35781291733353826,0.2285641363343677,0.6925999050631193,0.9927087735186031,0.4954941791099256,0.6650167137861399,0.6171799538378085
2,P2,25,0.3703305195448762,0.2212729522505322,0.7070684499836799,0.9931646788519349,0.48691365070659864,0.70462241384318,0.6435730565330057
2,P2,26,0.37402336324675606,0.23009523376822472,0.6881048171870747,0.9921729139865263,0.45879904990325465,0.6591660016454663,0.6422813032130518
2,P2,27,0.3571654550099777,0.21389966488287254,0.7150294732890289,0.9931025755472573,0.5239194268673746,0.6911256901150739,0.6519702006264096
2,P2,28,0.37785160839557647,0.22685128722239184,0.7021981186345154,0.9934032439967543,0.47871640222846895,0.6907270959829287,0.6459457323299096
2,P2,29,0.3761638530230118,0.21562044805771596,0.7081490249426373,0.993438019455013,0.5024211535431874,0.6904965950280598,0.646240331744289
2,P2,30,0.36280156904357974,0.2278373158864073,0.7048303379178344,0.9923867789405681,0.4769763245098811,0.6951390131137436,0.6548192351071449
