seed,pipeline,epoch,train_loss,val_loss,val_dice
0,P1,1,0.8292656746961302,0.7070078833683117,0.5019315192060663
0,P2,1,0.8422604132506807,0.7111214157697316,0.4556730743336804
0,P3,1,0.8415010854349299,0.7252090976044938,0.45039760996690614
1,P1,1,0.9385387176174228,0.806200277966422,0.3498992599382489
1,P2,1,0.7394775895749108,0.6143130313705754,0.3979168637766937
1,P3,1,0.8960509847786466,0.7617708154626794,0.41389903161312747
2,P1,1,0.9228197596840939,0.7848421641298242,0.44400506585901156
2,P2,1,0.8193281650543213,0.6779344557104884,0.38444372443147545
2,P3,1,0.8641757187196764,0.7335980905068887,0.514135047945162
