,train_loss,val_loss,lr,val_dice
0,0.8689054234553192,0.7190621156950254,0.0001,"[0.9893667381225046, 0.0918510489950998, 0.5213993751153094, 0.19459315321488413]"
1,0.6643613217240673,0.5641017846159033,0.0001,"[0.9884301890850348, 0.1367380508970796, 0.5274028457808974, 0.5241275639437208]"
2,0.548574491779683,0.4743138499356605,0.0001,"[0.9870599811967653, 0.22886829168926162, 0.483686012625203, 0.5645776740239757]"
3,0.4881975192134663,0.3934498828005146,0.0001,"[0.9909592474941842, 0.34208483535629447, 0.6187592654794538, 0.5618913576154279]"
4,0.46319056951393517,0.3695890210770272,0.0001,"[0.9900208912459976, 0.32740179190906055, 0.5801671390449424, 0.5811076010366488]"
5,0.4367123993776612,0.33888824686810776,0.0001,"[0.9901705938215489, 0.3567965563070711, 0.5877532317790416, 0.6042313292051155]"
6,0.4149764618126012,0.3104455003867278,0.0001,"[0.9912067903487091, 0.393579428084685, 0.6069510525330717, 0.6062509847044657]"
7,0.42014819444236107,0.31097421634036143,0.0001,"[0.9897495450645774, 0.3757291268604794, 0.5655904093883993, 0.5626413360539075]"
8,0.4060460697291261,0.28874051510482224,0.0001,"[0.9916319192326326, 0.36071018946593747, 0.6274093401908245, 0.6116207660585251]"
9,0.38334230805857705,0.2779663521293047,0.0001,"[0.9911357426710292, 0.35123134497316943, 0.6312494860977412, 0.5967389702995233]"
10,0.40633466642791943,0.2701998500002397,0.0001,"[0.991082452509352, 0.40902334944199414, 0.6515486397237016, 0.611273550498991]"
11,0.40513617376149713,0.2593905502879942,0.0001,"[0.9912486430724848, 0.43728294951130886, 0.6501922300462086, 0.6298793607143559]"
12,0.39644898999545536,0.25766656487374695,0.0001,"[0.9914784667198973, 0.4314191119532843, 0.6216021066012448, 0.6173793931603156]"
13,0.38967804075297663,0.2475739183860856,0.0001,"[0.9923406315157779, 0.43125508721353595, 0.6658009280162805, 0.6381426340821461]"
14,0.38295481129217956,0.239329331227251,0.0001,"[0.9926501328790875, 0.45536332817735664, 0.6621837642347138, 0.6221766975957446]"
15,0.38496773732920825,0.24420582623900594,0.0001,"[0.9921744814478617, 0.4292053112413521, 0.6608360908784379, 0.633824541745339]"
16,0.37322645480349914,0.23711710141317263,0.0001,"[0.9924497782462485, 0.45920638501712957, 0.6537652457671465, 0.63839280459825]"
17,0.38305763097132667,0.23535426263068174,0.0001,"[0.9931404731344202, 0.46256242833507993, 0.67072039546334, 0.6454806630197173]"
18,0.3797529725200039,0.23819527694502393,0.0001,"[0.9924822197140502, 0.4339712126353099, 0.6395304492933632, 0.6327199959054663]"
19,0.39507825071528807,0.2452801363290967,0.0001,"[0.9919339500273594, 0.42502979634330595, 0.614930778448764, 0.643204284076729]"
20,0.3965131077220884,0.22755577254134254,0.0001,"[0.9925829145129702, 0.47422220905397433, 0.6817346913960515, 0.6424249437256789]"
21,0.391034811836178,0.23282556195516843,0.0001,"[0.9929750176767719, 0.48665517527282226, 0.6857099202520022, 0.6419351366721198]"
22,0.3788300184880273,0.23959173181572477,0.0001,"[0.9924240780374702, 0.45632945347364245, 0.6641451266664611, 0.6372692806500514]"
23,0.39416849784931896,0.23365546561576225,0.0001,"[0.9916562596560541, 0.48996879199135585, 0.66156636596701, 0.6161827094444546]"
24,0.3915316231675067,0.23788867135708397,0.0001,"[0.9925523809053745, 0.479188441302462, 0.6979687674070587, 0.6242876480255883]"
25,0.3721009681790562,0.2235768329654191,0.0001,"[0.9930110844234524, 0.4997382352407179, 0.6969441970255569, 0.6287762516372571]"
26,0.38045969029604376,0.23262589102661288,0.0001,"[0.9921408970954494, 0.46796404221189414, 0.663035012398554, 0.624726511134227]"
27,0.37525188715781194,0.22363422176725156,0.0001,"[0.9928486972094493, 0.4739407852539576, 0.6907795389331058, 0.6289876152251774]"
28,0.38615554475178154,0.21485000758154973,0.0001,"[0.9934250594657243, 0.505671857325842, 0.696186813038234, 0.662565027870625]"
29,0.37225411663116037,0.22882948775549192,0.0001,"[0.9915761179001482, 0.4894947157147304, 0.6562051876066907, 0.622303768008479]"
30,0.36780762235491965,0.22069618891219836,0.0001,"[0.9926387050808361, 0.5153886222883136, 0.6914977172074795, 0.6239454917844415]"
31,0.3717820817131107,0.22299053117230133,0.0001,"[0.993095512791724, 0.5263878161400004, 0.7020627151506591, 0.6560382115459654]"
32,0.37021632828449796,0.2260054821098173,0.0001,"[0.9924357737701068, 0.49855446079307536, 0.6598703561456325, 0.6432554256608072]"
33,0.38341192007064817,0.22753962310584816,0.0001,"[0.9915702093805594, 0.5080440227131284, 0.6602733291526796, 0.6400505491043307]"
34,0.3857964001974817,0.22344350955776265,5e-05,"[0.9934960214015605, 0.5157552266776885, 0.6986335455212351, 0.6308221312912453]"
35,0.3661427075580015,0.21111995485183355,5e-05,"[0.9932436245648586, 0.5467656191107739, 0.6992699258515168, 0.6585931470451246]"
36,0.377034993949583,0.21857972755222707,5e-05,"[0.9936114868080218, 0.5298151347998387, 0.7052437276448115, 0.6483252570957828]"
37,0.38079738414893716,0.21142429415438627,5e-05,"[0.9932008870537635, 0.5363980334659205, 0.7038931954827315, 0.6622427498331807]"
38,0.36349134470446637,0.21545351286594933,5e-05,"[0.9930869264680653, 0.5183678863501783, 0.6794346372621508, 0.6571967786013029]"
39,0.35794577209626216,0.20907616967687737,5e-05,"[0.9933493425791309, 0.5378008805626434, 0.7007492485839268, 0.655837051488802]"
