seed,pipeline,epoch,train_loss,val_loss,time_sec
2,P2,16,0.8752,0.6109,231.07
2,P2,17,0.9083,0.6226,233.36
2,P2,18,0.8887,0.5783,229.52
2,P2,19,0.8961,0.7829,231.02
2,P2,20,0.9162,0.6664,229.31
2,P2,21,0.8900,0.6336,231.27
2,P2,22,0.8918,0.6257,229.96
2,P2,23,0.8886,0.5981,229.96
2,P2,24,0.8987,0.6215,229.69
2,P2,25,0.8804,0.5698,232.60
2,P2,26,0.8926,0.6045,230.68
2,P2,27,0.8782,0.5816,233.35
2,P2,28,0.8459,0.5871,229.89
2,P2,29,0.8939,0.6150,231.91
2,P2,30,0.9001,0.5927,229.53
2,P2,31,0.9093,0.6516,231.65
2,P2,32,0.8572,0.5356,233.04
2,P2,33,0.8897,0.6011,229.39
2,P2,34,0.8888,0.5793,229.67
2,P2,35,0.8459,0.5950,232.68
2,P2,36,0.8695,0.6173,230.83
2,P2,37,0.8625,0.5746,230.90
2,P2,38,0.9061,0.6504,229.91
2,P2,39,0.8494,0.5551,233.23
2,P2,40,0.8811,0.5656,230.44
2,P3,1,1.1455,0.7045,223.83
2,P3,2,0.9533,0.7345,224.53
2,P3,3,0.9310,0.6626,223.85
2,P3,4,0.9986,0.7097,225.30
2,P3,5,0.9171,0.6269,227.44
2,P3,6,0.9135,0.6281,226.32
2,P3,7,0.9242,0.6468,226.11
2,P3,8,0.9139,0.6223,223.93
2,P3,9,0.8936,0.6223,225.63
2,P3,10,0.9042,0.6314,227.08
2,P3,11,0.9219,0.6864,229.23
2,P3,12,0.9208,0.6488,224.89
2,P3,13,0.9070,0.6036,225.76
2,P3,14,0.9125,0.6405,227.92
2,P3,15,0.8973,0.6777,225.08
2,P3,16,0.9168,0.6228,226.50
2,P3,17,0.9059,0.6125,231.56
2,P3,18,0.9037,0.6273,231.71
2,P3,19,0.9283,0.6727,225.32
2,P3,20,0.9153,0.7594,225.88
2,P3,21,0.8925,0.6653,257.06
