pipeline,dice_WT_mean,dice_WT_std,dice_TC_mean,dice_TC_std,dice_ET_mean,dice_ET_std,hd95_WT_mean,hd95_WT_std,hd95_TC_mean,hd95_TC_std,hd95_ET_mean,hd95_ET_std
P1,0.748856680676491,0.004701102250247119,0.3664319847801498,0.09314065240417516,0.2557130150521826,0.03940184733757515,14.65434317217033,3.393878304502759,19.172110967321842,7.149829740756019,,
P2,0.7250144421345169,0.018384890606088878,0.18103969927567806,0.11779828012914466,0.043113146568648654,0.05844061428650299,14.193616591868606,1.3543181955768475,19.58069817959362,2.7963650394924278,,
P3,0.7381711056187296,0.01395663092908952,0.33220442841241915,0.1559282416418312,0.28259323710759493,0.20950143804076454,22.502774796874064,4.324956089544615,,,,
